word	menukad	lex	unvocalized_lex	POS	Prefix	Gender	Number	Person	Status	Tense	Binyan	Suffix	Suf_Gender	Suf_Number	Suf_Person	fAramaic	no_pipe_menukad	no_prefix_menukad
ה|שלווה	הַ|שַּׁלְוָה	שַׁלְוָה	שלווה	NOUN	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הַשַּׁלְוָה	שַׁלְוָה

את	אֶת	אֶת	את	AT_PREP												False	אֶת	אֶת
ג'ניס	גֵ'נִיס	גֵ'נִיס	גניס	PROPERNAME												False	גֵ'נִיס	גֵנִיס
ג'ופלין	ג'וּפְּלִין	ג'וּפְּלִין	ג'וּפְּלִין	PROPERNAME		FEMININE	SINGULAR									False	ג'וּפְּלִין	ג'וּפְּלִין
שרה	שָׁרָה	שׁיר	שׁיר	VERB		FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	שָׁרָה	שָׁרָה
בלוז	בְּלוּז	בְּלוּז	בלוז	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	בְּלוּז	בְּלוּז
ישן	יָשָׁן	יָשָׁן	ישן	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	יָשָׁן	יָשָׁן

על	עַל	עַל	על	PREPOSITION												False	עַל	עַל
בובי	בּוֹבִּי	בּוֹבִּי	בובי	PROPERNAME		MASCULINE	SINGULAR									False	בּוֹבִּי	בּוֹבִּי
מק	מַק	מַק	מק	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	מַק	מַק
-	-			PUNCTUATION												False	-	-
ג'יי	גֵ'י	גֵ'י	גי	PROPERNAME												False	גֵ'י	גֵי
.	.			PUNCTUATION												False	.	.
רביעייה	רְבִיעִיָּה	רְבִיעִיָּה	רביעייה	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	רְבִיעִיָּה	רְבִיעִיָּה
קאמרית	קָאמֵרִית	קָמֵרִי	קמרי	ADJECTIVE		FEMININE	SINGULAR		ABSOLUTE							False	קָאמֵרִית	קָאמֵרִית

מנגנת	מְנַגֶּנֶת	נגן	נגן	VERB		FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PIEL					False	מְנַגֶּנֶת	מְנַגֶּנֶת
מוסיקה	מוּסִיקָה	מוּזִיקָה	מוזיקה	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	מוּסִיקָה	מוּסִיקָה
צלולה	צְלוּלָה	צָלוּל	צלול	ADJECTIVE		FEMININE	SINGULAR		ABSOLUTE							False	צְלוּלָה	צְלוּלָה
מעבירה	מַעֲבִירָה	עבר	עבר	VERB		FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_HIFIL					False	מַעֲבִירָה	מַעֲבִירָה
בי	בִּי	בְּ	ב	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	בִּי	בִּי

שוב	שׁוּב	שׁוּב	שוב	ADVERB												False	שׁוּב	שׁוּב
אותן	אוֹתָן	אֶת	את	QUANTIFIER		FEMININE	PLURAL		ABSOLUTECONSTRUCT							False	אוֹתָן	אוֹתָן
צמרמורות	צְמַרְמוֹרוֹת	צְמַרְמֹרֶת	צמרמורת	NOUN		FEMININE	PLURAL		CONSTRUCT							False	צְמַרְמוֹרוֹת	צְמַרְמוֹרוֹת
עונג	עֹנֶג	עֹנֶג	עונג	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	עֹנֶג	עֹנֶג
ידועות	יְדוּעוֹת	יָדוּעַ	ידוע	ADJECTIVE		FEMININE	PLURAL		ABSOLUTE							False	יְדוּעוֹת	יְדוּעוֹת
.	.			PUNCTUATION												False	.	.

אבל	אֲבָל	אֲבָל	אבל	CONJUNCTION												False	אֲבָל	אֲבָל
אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
חייל	חַיָּל	חַיָּל	חייל	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	חַיָּל	חַיָּל
-	-			PUNCTUATION												False	-	-
ו|אל	וְ|אַל	אַל	אל	NEGATION	CONJUNCTION											False	וְאַל	אַל
תבכי	תִּבְכִּי	בכי	בכי	VERB		FEMININE	SINGULAR	PERSON_2		FUTURE	BINYAN_PAAL					False	תִּבְכִּי	תִּבְכִּי
לי	לִי	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	לִי	לִי
ילדה	יַלְדָּה	יַלְדָּה	ילדה	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	יַלְדָּה	יַלְדָּה
.	.			PUNCTUATION												False	.	.

אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
מוסיף	מוֹסִיף	יסף	יסף	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_HIFIL					False	מוֹסִיף	מוֹסִיף
ללכת	לָלֶכֶת	הלך	הלך	VERB						TOINFINITIVE	BINYAN_PAAL					False	לָלֶכֶת	לָלֶכֶת
מוסיף	מוֹסִיף	יסף	יסף	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_HIFIL					False	מוֹסִיף	מוֹסִיף
ב|שביל	בַּ|שְּׁבִיל	שְׁבִיל	שביל	NOUN	DEFINITEARTICLE+PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	בַּשְּׁבִיל	שְׁבִיל
ה|צר	הַ|צַּר	צַר	צר	ADJECTIVE	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַצַּר	צַר
,	,			PUNCTUATION												False	,	,

מושך	מוֹשֵׁךְ	משׁך	משׁך	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	מוֹשֵׁךְ	מוֹשֵׁךְ
ב|מעלה	בְּ|מַעֲלֵה	מַעֲלֶה	מעלה	NOUN	PREPOSITION	MASCULINE	SINGULAR		CONSTRUCT							False	בְּמַעֲלֵה	מַעֲלֵה
ה|דורות	הַ|דּוֹרוֹת	דּוֹר	דור	NOUN	DEFINITEARTICLE	MASCULINE	PLURAL		ABSOLUTE							False	הַדּוֹרוֹת	דּוֹרוֹת
רב	רַב	רַב	רב	ADJECTIVE		MASCULINE	SINGULAR		CONSTRUCT							False	רַב	רַב
ה|חתחתים	הַ|חַתְחַתִּים	חַתְחַת	חתחת	NOUN	DEFINITEARTICLE	MASCULINE	PLURAL		ABSOLUTE							False	הַחַתְחַתִּים	חַתְחַתִּים
.	.			PUNCTUATION												False	.	.

מ|עלי	מֵ|עָלַי	עַל	על	PREPOSITION	PREPOSITION							ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	מֵעָלַי	עָלַי
ציפורים	צִפּוֹרִים	צִפּוֹר	ציפור	NOUN		FEMININE	PLURAL		ABSOLUTE							False	צִפּוֹרִים	צִפּוֹרִים
,	,			PUNCTUATION												False	,	,
דואות	דּוֹאוֹת	דאי	דאי	VERB		FEMININE	PLURAL	PERSON_ANY		PRESENT	BINYAN_PAAL					False	דּוֹאוֹת	דּוֹאוֹת
חופשיות	חׇפְשִׁיּוֹת	חׇפְשִׁית	חופשית	NOUN		FEMININE	PLURAL		ABSOLUTE							False	חׇפְשִׁיּוֹת	חׇפְשִׁיּוֹת

וה|רוח	וְהָ|רוּחַ	רוּחַ	רוח	NOUN	CONJUNCTION+DEFINITEARTICLE	MASCULINEFEMININE	SINGULAR		ABSOLUTE							False	וְהָרוּחַ	רוּחַ
ב|מרחבים	בַּ|מֶּרְחָבִים	מֶרְחָב	מרחב	NOUN	DEFINITEARTICLE+PREPOSITION	MASCULINE	PLURAL		ABSOLUTE							False	בַּמֶּרְחָבִים	מֶרְחָבִים
-	-			PUNCTUATION												False	-	-
כמו	כְּמוֹ	כְּמוֹ	כמו	PREPOSITION												False	כְּמוֹ	כְּמוֹ
קוראת	קוֹרֵאת	קרא	קרא	VERB		FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	קוֹרֵאת	קוֹרֵאת
תגר	תַּגָּר	תַּגָּר	תגר	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	תַּגָּר	תַּגָּר
,	,			PUNCTUATION												False	,	,

אבל	אֲבָל	אֲבָל	אבל	CONJUNCTION												False	אֲבָל	אֲבָל
אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
חייל	חַיָּל	חַיָּל	חייל	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	חַיָּל	חַיָּל
-	-			PUNCTUATION												False	-	-
ו|אל	וְ|אַל	אַל	אל	NEGATION	CONJUNCTION											False	וְאַל	אַל
תבכי	תִּבְכִּי	בכי	בכי	VERB		FEMININE	SINGULAR	PERSON_2		FUTURE	BINYAN_PAAL					False	תִּבְכִּי	תִּבְכִּי
לי	לִי	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	לִי	לִי
ילדה	יַלְדָּה	יַלְדָּה	ילדה	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	יַלְדָּה	יַלְדָּה
.	.			PUNCTUATION												False	.	.

אהבתי	אָהַבְתִּי	אהב	אהב	VERB		MASCULINEFEMININE	SINGULAR	PERSON_1		PAST	BINYAN_PAAL					False	אָהַבְתִּי	אָהַבְתִּי
-	-			PUNCTUATION												False	-	-
רגעי	רִגְעֵי	רֶגַע	רגע	NOUN		MASCULINE	PLURAL		CONSTRUCT							False	רִגְעֵי	רִגְעֵי
זכרונות	זִכְרוֹנוֹת	זִכָּרוֹן	זיכרון	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	זִכְרוֹנוֹת	זִכְרוֹנוֹת
ו|געגועים	וְ|גַעְגּוּעִים	גַּעְגּוּעַ	געגוע	NOUN	CONJUNCTION	MASCULINE	PLURAL		ABSOLUTE							False	וְגַעְגּוּעִים	גַּעְגּוּעִים
טרופים	טְרוּפִים	טָרוּף	טרוף	ADJECTIVE		MASCULINE	PLURAL		ABSOLUTE							False	טְרוּפִים	טְרוּפִים
.	.			PUNCTUATION												False	.	.

על	עַל	עַל	על	PREPOSITION												False	עַל	עַל
ה|שולחן	הַ|שֻּׁלְחָן	שֻׁלְחָן	שולחן	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַשֻּׁלְחָן	שֻׁלְחָן
סיפורים	סִפּוּרִים	סִפּוּר	סיפור	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	סִפּוּרִים	סִפּוּרִים
של	שֶׁל	שֶׁל	של	SHEL_PREP												False	שֶׁל	שֶׁל
צ'כוב	צֵ'כוֹב	צֵ'כוֹב	צכוב	PROPERNAME												False	צֵ'כוֹב	צֵכוֹב
,	,			PUNCTUATION												False	,	,
כ|אבן	כְּ|אֶבֶן	אֶבֶן	אבן	NOUN	PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	כְּאֶבֶן	אֶבֶן
ש|אין	שֶׁ|אֵין	אֵין	אין	NEGATION	RELATIVIZIER_SUBORDINATINGCONJUNCTION											False	שֶׁאֵין	אֵין

לה	לָהּ	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_FEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_3	False	לָהּ	לָהּ
הופכין	הוֹפְכִין	הפך	הפך	VERB		MASCULINE	PLURAL	PERSON_ANY		PRESENT	BINYAN_PAAL					False	הוֹפְכִין	הוֹפְכִין
,	,			PUNCTUATION												False	,	,
כי	כִּי	כִּי	כי	CONJUNCTION												False	כִּי	כִּי
אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
הוא	הוּא	הוּא	הוא	COPULA		MASCULINE	SINGULAR	PERSON_3		PRESENT						False	הוּא	הוּא
אדם	אָדָם	אָדָם	אדם	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	אָדָם	אָדָם
מחופש	מְחֻפָּשׂ	מְחֻפָּשׂ	מחופש	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	מְחֻפָּשׂ	מְחֻפָּשׂ

ל|חייל	לְ|חַיָּל	חַיָּל	חייל	NOUN	PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	לְחַיָּל	חַיָּל
,	,			PUNCTUATION												False	,	,
כפות	כַּפּוֹת	כַּפָּה	כפה	NOUN		FEMININE	PLURAL		CONSTRUCT							False	כַּפּוֹת	כַּפּוֹת
ב|כתונת	בִּ|כְתֹנֶת	כֻּתֹּנֶת	כותונת	NOUN	PREPOSITION	FEMININE	SINGULAR		CONSTRUCT							False	בִּכְתֹנֶת	כְּתֹנֶת
משוגעים	מְשֻׁגָּעִים	מְשֻׁגָּע	משוגע	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	מְשֻׁגָּעִים	מְשֻׁגָּעִים
-	-			PUNCTUATION												False	-	-

אז	אָז	אָז	אז	ADVERB												False	אָז	אָז
בכי	בְּכִי	בְּכִי	בכי	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	בְּכִי	בְּכִי
לי	לִי	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	לִי	לִי
ילדה	יַלְדָּה	יַלְדָּה	ילדה	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	יַלְדָּה	יַלְדָּה
על	עַל	עַל	על	PREPOSITION												False	עַל	עַל
רגעי	רִגְעֵי	רֶגַע	רגע	NOUN		MASCULINE	PLURAL		CONSTRUCT							False	רִגְעֵי	רִגְעֵי
ה|בדידות	הַ|בְּדִידוּת	בְּדִידוּת	בדידות	NOUN	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הַבְּדִידוּת	בְּדִידוּת
,	,			PUNCTUATION												False	,	,

על	עַל	עַל	על	PREPOSITION												False	עַל	עַל
ה|ציפיות	הַ|צִּפִּיּוֹת	צִפִּיָּה	ציפייה	NOUN	DEFINITEARTICLE	FEMININE	PLURAL		ABSOLUTE							False	הַצִּפִּיּוֹת	צִפִּיּוֹת
ו|על	וְ|עַל	עַל	על	PREPOSITION	CONJUNCTION											False	וְעַל	עַל
ה|שנים	הַ|שָּׁנִים	שָׁנָה	שנה	NOUN	DEFINITEARTICLE	FEMININE	PLURAL		ABSOLUTE							False	הַשָּׁנִים	שָׁנִים
,	,			PUNCTUATION												False	,	,
ו|בכי	וּ|בְכִי	בְּכִי	בכי	NOUN	CONJUNCTION	MASCULINE	SINGULAR		ABSOLUTE							False	וּבְכִי	בְּכִי
על	עַל	עַל	על	PREPOSITION												False	עַל	עַל

שני	שְׁנֵי	שָׁנָה	שנה	NOUN		FEMININE	PLURAL		CONSTRUCT							False	שְׁנֵי	שְׁנֵי
לבבות	לְבָבוֹת	לֵבָב	לבב	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	לְבָבוֹת	לְבָבוֹת
אוהבים	אוֹהֲבִים	אהב	אהב	VERB		MASCULINE	PLURAL	PERSON_ANY		PRESENT	BINYAN_PAAL					False	אוֹהֲבִים	אוֹהֲבִים
ו|רחוקים	וּ|רְחוֹקִים	רָחוֹק	רחוק	ADJECTIVE	CONJUNCTION	MASCULINE	PLURAL		ABSOLUTE							False	וּרְחוֹקִים	רְחוֹקִים
.	.			PUNCTUATION												False	.	.



#	#			PUNCTUATION												False	#	#
#	#			PUNCTUATION												False	#	#
#	#			PUNCTUATION												False	#	#
דרך	דֶּרֶךְ	דֶּרֶךְ	דרך	NOUN		FEMININE	SINGULAR		CONSTRUCT							False	דֶּרֶךְ	דֶּרֶךְ
ה|כורכר	הַ|כֻּרְכָּר	כֻּרְכָּר	כורכר	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַכֻּרְכָּר	כֻּרְכָּר
/	/			PUNCTUATION												False	/	/
אריק	אָרִיק	אָרִיק	אריק	PROPERNAME		MASCULINE	SINGULAR									False	אָרִיק	אָרִיק
סיני	סִינַי	סִינַי	סיני	PROPERNAME		MASCULINEFEMININE	SINGULAR									False	סִינַי	סִינַי

אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
חוזר	חוֹזֵר	חזר	חזר	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	חוֹזֵר	חוֹזֵר
ב|דרך	בַּ|דֶּרֶךְ	דֶּרֶךְ	דרך	NOUN	DEFINITEARTICLE+PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	בַּדֶּרֶךְ	דֶּרֶךְ
ה|כורכר	הַ|כֻּרְכָּר	כֻּרְכָּר	כורכר	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַכֻּרְכָּר	כֻּרְכָּר

ב|פיתולי	בְּ|פִתּוּלֵי	פִּתּוּל	פיתול	NOUN	PREPOSITION	MASCULINE	PLURAL		CONSTRUCT							False	בְּפִתּוּלֵי	פִּתּוּלֵי
אותו	אוֹתוֹ	אֶת	את	QUANTIFIER		MASCULINE	SINGULAR		ABSOLUTECONSTRUCT							False	אוֹתוֹ	אוֹתוֹ
מסלול	מַסְלוּל	מַסְלוּל	מסלול	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	מַסְלוּל	מַסְלוּל
מוכר	מֻכָּר	מֻכָּר	מוכר	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	מֻכָּר	מֻכָּר

ו|שוב	וְ|שׁוּב	שׁוּב	שוב	ADVERB	CONJUNCTION											False	וְשׁוּב	שׁוּב
נדמה	נִדְמֶה	דמי	דמי	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_NIFAL					False	נִדְמֶה	נִדְמֶה
ש|זה	שֶׁ|זֶּה	זֶה	זה	PRONOUN	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINE	SINGULAR	PERSON_3								False	שֶׁזֶּה	זֶה
אותו	אוֹתוֹ	אֶת	את	QUANTIFIER		MASCULINE	SINGULAR		ABSOLUTECONSTRUCT							False	אוֹתוֹ	אוֹתוֹ
צרצר	צְרָצַר	צְרָצַר	צרצר	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	צְרָצַר	צְרָצַר

שר	שָׁר	שׁיר	שׁיר	VERB		MASCULINE	SINGULAR	PERSON_3		PAST	BINYAN_PAAL					False	שָׁר	שָׁר
מתחת	מִתַּחַת	מִתַּחַת	מתחת	PREPOSITION												False	מִתַּחַת	מִתַּחַת
שיח	שִׂיחַ	שִׂיחַ	שיח	NOUN		MASCULINE	SINGULAR		CONSTRUCT							False	שִׂיחַ	שִׂיחַ
ה|צבר	הַ|צֶּבֶר	צֶבֶר	צבר	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַצֶּבֶר	צֶבֶר
.	.			PUNCTUATION												False	.	.

שני	שְׁנֵי	שָׁנָה	שנה	NOUN		FEMININE	PLURAL		CONSTRUCT							False	שְׁנֵי	שְׁנֵי
ה|ברושים	הַ|בְּרוֹשִׁים	בְּרוֹשׁ	ברוש	NOUN	DEFINITEARTICLE	MASCULINE	PLURAL		ABSOLUTE							False	הַבְּרוֹשִׁים	בְּרוֹשִׁים
ב|שער	בַּ|שַּׁעַר	שַׁעַר	שער	NOUN	DEFINITEARTICLE+PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	בַּשַּׁעַר	שַׁעַר
ה|קדמי	הַ|קִּדְמִי	קִדְמִי	קדמי	ADJECTIVE	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַקִּדְמִי	קִדְמִי

שומרים	שׁוֹמְרִים	שׁמר	שׁמר	VERB		MASCULINE	PLURAL	PERSON_ANY		PRESENT	BINYAN_PAAL					False	שׁוֹמְרִים	שׁוֹמְרִים
על	עַל	עַל	על	PREPOSITION												False	עַל	עַל
סף	סַף	סַף	סף	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	סַף	סַף
ה|בית	הַ|בַּיִת	בַּיִת	בית	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַבַּיִת	בַּיִת
של	שֶׁל	שֶׁל	של	SHEL_PREP												False	שֶׁל	שֶׁל
אימי	אִמִּי	אֵם	אם	NOUN		FEMININE	SINGULAR		ABSOLUTE			POSSESIVEPRONOUN	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	אִמִּי	אִמִּי

ו|על	וְ|עַל	עַל	על	PREPOSITION	CONJUNCTION											False	וְעַל	עַל
עמוד	עַמּוּד	עַמּוּד	עמוד	NOUN		MASCULINE	SINGULAR		CONSTRUCT							False	עַמּוּד	עַמּוּד
בטון	בֵּטוֹן	בֵּטוֹן	בטון	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	בֵּטוֹן	בֵּטוֹן
טבוע	טָבוּעַ	טָבוּעַ	טבוע	PARTICIPLE		MASCULINE	SINGULAR	PERSON_ANY	ABSOLUTE		BINYAN_PAAL					False	טָבוּעַ	טָבוּעַ
שמי	שְׁמִי	שֵׁם	שם	NOUN		MASCULINE	SINGULAR		ABSOLUTE			POSSESIVEPRONOUN	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	שְׁמִי	שְׁמִי

ש|רשמתי	שֶׁ|רָשַׁמְתִּי	רשׁם	רשׁם	VERB	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINEFEMININE	SINGULAR	PERSON_1		PAST	BINYAN_PAAL					False	שֶׁרָשַׁמְתִּי	רָשַׁמְתִּי
פעם	פַּעַם	פַּעַם	פעם	ADVERB												False	פַּעַם	פַּעַם
ב|עצמי	בְּ|עַצְמִי	עֶצֶם	עצם	PRONOUN	PREPOSITION	MASCULINEFEMININE	SINGULAR	PERSON_1								False	בְּעַצְמִי	עַצְמִי
.	.			PUNCTUATION												False	.	.

ו|ריח	וְ|רֵיחַ	רֵיחַ	ריח	NOUN	CONJUNCTION	MASCULINE	SINGULAR		CONSTRUCT							False	וְרֵיחַ	רֵיחַ
מלונים	מְלוֹנִים	מָלוֹן	מלון	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	מְלוֹנִים	מְלוֹנִים
עם	עִם	עִם	עם	PREPOSITION												False	עִם	עִם
דבק	דֶּבֶק	דֶּבֶק	דבק	NOUN		MASCULINE	SINGULAR		CONSTRUCT							False	דֶּבֶק	דֶּבֶק
אורנים	אֳרָנִים	אֹרֶן	אורן	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	אֳרָנִים	אֳרָנִים

נופל	נוֹפֵל	נפל	נפל	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	נוֹפֵל	נוֹפֵל
כבד	כָּבֵד	כָּבֵד	כבד	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	כָּבֵד	כָּבֵד
כמו	כְּמוֹ	כְּמוֹ	כמו	PREPOSITION												False	כְּמוֹ	כְּמוֹ
ה|שנים	הַ|שָּׁנִים	שָׁנָה	שנה	NOUN	DEFINITEARTICLE	FEMININE	PLURAL		ABSOLUTE							False	הַשָּׁנִים	שָׁנִים
,	,			PUNCTUATION												False	,	,

אבל	אֲבָל	אֲבָל	אבל	CONJUNCTION												False	אֲבָל	אֲבָל
תמיד	תָּמִיד	תָּמִיד	תמיד	ADVERB												False	תָּמִיד	תָּמִיד
מסביר	מַסְבִּיר	מַסְבִּיר	מסביר	PARTICIPLE		MASCULINE	SINGULAR	PERSON_ANY	CONSTRUCT		BINYAN_HIFIL					False	מַסְבִּיר	מַסְבִּיר
פנים	פָּנִים	פָּנִים	פנים	NOUN		MASCULINEFEMININE	PLURAL		ABSOLUTE							False	פָּנִים	פָּנִים
.	.			PUNCTUATION												False	.	.

אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
הולך	הוֹלֵךְ	הלך	הלך	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	הוֹלֵךְ	הוֹלֵךְ
ב|דרך	בַּ|דֶּרֶךְ	דֶּרֶךְ	דרך	NOUN	DEFINITEARTICLE+PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	בַּדֶּרֶךְ	דֶּרֶךְ
ה|כורכר	הַ|כֻּרְכָּר	כֻּרְכָּר	כורכר	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַכֻּרְכָּר	כֻּרְכָּר

ו|מחפש	וּ|מְחַפֵּשׂ	חפשׂ	חפשׂ	VERB	CONJUNCTION	MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PIEL					False	וּמְחַפֵּשׂ	מְחַפֵּשׂ
את	אֶת	אֶת	את	AT_PREP												False	אֶת	אֶת
כל	כׇּל	כֹּל	כול	QUANTIFIER					CONSTRUCT							False	כׇּל	כׇּל
ילדי	יַלְדֵי	יֶלֶד	ילד	NOUN		MASCULINE	PLURAL		CONSTRUCT							False	יַלְדֵי	יַלְדֵי
